References,condition,Title,Result,Reason,Description,ID,Policy ID,command,Rationale,Remediation,Compliance,Rules
"https://www.cisecurity.org/white-papers/cis-password-policy-guide/,https://learn.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/password-policy",all,Ensure 'Enforce password history' is set to '24 or more password(s)'.,failed,,"This policy setting determines the number of renewed, unique passwords that have to be associated with a user account before you can reuse an old password. The value for this policy setting must be between 0 and 24 passwords. The default value for stand-alone systems is 0 passwords, but the default setting when joined to a domain is 24 passwords. To maintain the effectiveness of this policy setting, use the Minimum password age setting to prevent users from repeatedly changing their password. The recommended state for this setting is: 24 or more password(s). Note: Password Policy settings (section 1.1) and Account Lockout Policy settings (section 1.2) must be applied via the Default Domain Policy GPO in order to be globally in effect on domain user accounts as their default behavior. If these settings are configured in another GPO, they will only affect local user accounts on the computers that receive the GPO. However, custom exceptions to the default password policy and account lockout policy rules for specific domain users and/or groups can be defined using Password Settings Objects (PSOs), which are completely separate from Group Policy and most easily configured using Active Directory Administrative Center. Note #2: As of the publication of this benchmark, Microsoft currently has a maximum limit of 24 saved passwords. For more information, please visit Enforce password history (Windows 10) - Windows security | Microsoft Docs.",15500,cis_win10_enterprise,"powershell secedit /export /cfg $env:TEMP\secpol.cfg; Get-Content $env:TEMP\secpol.cfg | Select-String ""PasswordHistorySize""; Remove-Item $env:TEMP\secpol.cfg","The longer a user uses the same password, the greater the chance that an attacker can determine the password through brute force attacks. Also, any accounts that may have been compromised will remain exploitable for as long as the password is left unchanged. If password changes are required but password reuse is not prevented, or if users continually reuse a small number of passwords, the effectiveness of a good password policy is greatly reduced. If you specify a low number for this policy setting, users will be able to use the same small number of passwords repeatedly. If you do not also configure the Minimum password age setting, users might repeatedly change their passwords until they can reuse their original password.","To establish the recommended configuration via GP, set the following UI path to 24 or more password(s): Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Enforce password history.","[{""value"":""1.1.1"",""key"":""cis""},{""value"":""16.2"",""key"":""cis_csc_v7""},{""value"":""5.2"",""key"":""cis_csc_v8""},{""value"":""IA.L2-3.5.7"",""key"":""cmmc_v2.0""},{""value"":""2.2.2,8.3.5,8.3.6,8.6.3"",""key"":""pci_dss_v4.0""},{""value"":""CC6.1"",""key"":""soc_2""}]","[{""type"":""command"",""rule"":""c:powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""PasswordHistorySize\""; Remove-Item $env:TEMP\\secpol.cfg -> n:PasswordHistorySize = (\\d+) compare >= 24""}]"
"https://www.cisecurity.org/white-papers/cis-password-policy-guide/,https://learn.microsoft.com/en-us/windows/security/threat-protection/security-",all,"Ensure 'Maximum password age' is set to '365 or fewer days, but not 0'.",passed,,"This policy setting defines how long a user can use their password before it expires. Values for this policy setting range from 0 to 999 days. If you set the value to 0, the password will never expire. Because attackers can crack passwords, the more frequently you change the password the less opportunity an attacker has to use a cracked password. However, the lower this value is set, the higher the potential for an increase in calls to help desk support due to users having to change their password or forgetting which password is current. The recommended state for this setting is 365 or fewer days, but not 0. Note: Password Policy settings (section 1.1) and Account Lockout Policy settings (section 1.2) must be applied via the Default Domain Policy GPO in order to be globally in effect on domain user accounts as their default behavior. If these settings are configured in another GPO, they will only affect local user accounts on the computers that receive the GPO. However, custom exceptions to the default password policy and account lockout policy rules for specific domain users and/or groups can be defined using Password Settings Objects (PSOs), which are completely separate from Group Policy and most easily configured using Active Directory Administrative Center.",15501,cis_win10_enterprise,"powershell secedit /export /cfg $env:TEMP\secpol.cfg; Get-Content $env:TEMP\secpol.cfg | Select-String ""MaximumPasswordAge""; Remove-Item $env:TEMP\secpol.cfg","The longer a password exists the higher the likelihood that it will be compromised by a brute force attack, by an attacker gaining general knowledge about the user, or by the user sharing the password. Configuring the Maximum password age setting to 0 so that users are never required to change their passwords is a major security risk because that allows a compromised password to be used by the malicious user for as long as the valid user has authorized access.","To establish the recommended configuration via GP, set the following UI path to 365 or fewer days, but not 0: Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Maximum password age.","[{""value"":""1.1.2"",""key"":""cis""},{""value"":""16.10"",""key"":""cis_csc_v7""},{""value"":""5.2"",""key"":""cis_csc_v8""},{""value"":""IA.L2-3.5.7"",""key"":""cmmc_v2.0""},{""value"":""2.2.2,8.3.5,8.3.6,8.6.3"",""key"":""pci_dss_v4.0""},{""value"":""CC6.1"",""key"":""soc_2""}]","[{""type"":""command"",""rule"":""c:powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""MaximumPasswordAge\""; Remove-Item $env:TEMP\\secpol.cfg -> n:MaximumPasswordAge = (\\d+) compare <= 365""},{""type"":""command"",""rule"":""c:powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""MaximumPasswordAge\""; Remove-Item $env:TEMP\\secpol.cfg -> n:MaximumPasswordAge = (\\d+) compare > 0""}]"
"https://www.cisecurity.org/white-papers/cis-password-policy-guide/,https://learn.microsoft.com/en-us/windows/security/threat-protection/security-",all,Ensure 'Minimum password age' is set to '1 or more day(s)'.,failed,,"This policy setting determines the number of days that you must use a password before you can change it. The range of values for this policy setting is between 1 and 999 days. (You may also set the value to 0 to allow immediate password changes.) The default value for this setting is 0 days. The recommended state for this setting is: 1 or more day(s)). Note: Password Policy settings (section 1.1) and Account Lockout Policy settings (section 1.2) must be applied via the Default Domain Policy GPO in order to be globally in effect on domain user accounts as their default behavior. If these settings are configured in another GPO, they will only affect local user accounts on the computers that receive the GPO. However, custom exceptions to the default password policy and account lockout policy rules for specific domain users and/or groups can be defined using Password Settings Objects (PSOs), which are completely separate from Group Policy and most easily configured using Active Directory Administrative Center.",15502,cis_win10_enterprise,"powershell secedit /export /cfg $env:TEMP\secpol.cfg; Get-Content $env:TEMP\secpol.cfg | Select-String ""MinimumPasswordAge""; Remove-Item $env:TEMP\secpol.cfg","Users may have favorite passwords that they like to use because they are easy to remember and they believe that their password choice is secure from compromise. Unfortunately, passwords are compromised and if an attacker is targeting a specific individual's user account, with foreknowledge of data about that user, reuse of old passwords can cause a security breach. To address password reuse a combination of security settings is required. Using this policy setting with the Enforce password history setting prevents the easy reuse of old passwords. For example, if you configure the Enforce password history setting to ensure that users cannot reuse any of their last 12 passwords, they could change their password 13 times in a few minutes and reuse the password they started with, unless you also configure the Minimum password age setting to a number that is greater than 0. You must configure this policy setting to a number that is greater than 0 for the Enforce password history setting to be effective.","To establish the recommended configuration via GP, set the following UI path to 1 or more day(s): Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Minimum password age.","[{""value"":""1.1.3"",""key"":""cis""},{""value"":""16.10"",""key"":""cis_csc_v7""},{""value"":""5.2"",""key"":""cis_csc_v8""},{""value"":""IA.L2-3.5.7"",""key"":""cmmc_v2.0""},{""value"":""2.2.2,8.3.5,8.3.6,8.6.3"",""key"":""pci_dss_v4.0""},{""value"":""CC6.1"",""key"":""soc_2""}]","[{""type"":""command"",""rule"":""c:powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""MinimumPasswordAge\""; Remove-Item $env:TEMP\\secpol.cfg -> n:MinimumPasswordAge = (\\d+) compare >= 1""}]"
"https://www.cisecurity.org/white-papers/cis-password-policy-guide/,https://learn.microsoft.com/en-us/windows/security/threat-protection/security-",all,Ensure 'Minimum password length' is set to '14 or more character(s)'.,failed,,"This policy setting determines the least number of characters that make up a password for a user account. There are many different theories about how to determine the best password length for an organization, but perhaps ""passphrase"" is a better term than ""password."" In Microsoft Windows 2000 or newer, passphrases can be quite long and can include spaces. Therefore, a phrase such as ""I want to drink a $5 milkshake"" is a valid passphrase; it is a considerably stronger password than an 8 or 10 character string of random numbers and letters, and yet is easier to remember. Users must be educated about the proper selection and maintenance of passwords, especially around password length. In enterprise environments, the ideal value for the Minimum password length setting is 14 characters, however you should adjust this value to meet your organization's business requirements. The recommended state for this setting is: 14 or more character(s). Note: In Windows Server 2016 and older versions of Windows Server, the GUI of the Local Security Policy (LSP), Local Group Policy Editor (LGPE) and Group Policy Management Editor (GPME) would not let you set this value higher than 14 characters. However, starting with Windows Server 2019, Microsoft changed the GUI to allow up to a 20 character minimum password length. Note #2: Password Policy settings (section 1.1) and Account Lockout Policy settings (section 1.2) must be applied via the Default Domain Policy GPO in order to be globally in effect on domain user accounts as their default behavior. If these settings are configured in another GPO, they will only affect local user accounts on the computers that receive the GPO. However, custom exceptions to the default password policy and account lockout policy rules for specific domain users and/or groups can be defined using Password Settings Objects (PSOs), which are completely separate from Group Policy and most easily configured using Active Directory Administrative Center.",15503,cis_win10_enterprise,"powershell secedit /export /cfg $env:TEMP\secpol.cfg; Get-Content $env:TEMP\secpol.cfg | Select-String ""MinimumPasswordLength""; Remove-Item $env:TEMP\secpol.cfg","Types of password attacks include dictionary attacks (which attempt to use common words and phrases) and brute force attacks (which try every possible combination of characters). Also, attackers sometimes try to obtain the account database so they can use tools to discover the accounts and passwords.","To establish the recommended configuration via GP, set the following UI path to 14 or more character(s): Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Minimum password length.","[{""value"":""1.1.4"",""key"":""cis""},{""value"":""4.4,16.2"",""key"":""cis_csc_v7""},{""value"":""5.2"",""key"":""cis_csc_v8""},{""value"":""IA.L2-3.5.7"",""key"":""cmmc_v2.0""},{""value"":""A.9.4.3"",""key"":""iso_27001-2013""},{""value"":""2.2.2,8.3.5,8.3.6,8.6.3"",""key"":""pci_dss_v4.0""},{""value"":""CC6.1"",""key"":""soc_2""}]","[{""type"":""command"",""rule"":""c:powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""MinimumPasswordLength\""; Remove-Item $env:TEMP\\secpol.cfg -> n:MinimumPasswordLength = (\\d+) compare >= 14""}]"
"https://www.cisecurity.org/white-papers/cis-password-policy-guide/,https://support.microsoft.com/en-us/topic/minimum-password-length-auditing-and-enforcement-on-certain-versions-of-windows-5ef7fecf-3325-f56b-cc10-4fd565aacc59,https://learn.microsoft.com/en-us/windows/security/threat-protection/security-",all,Ensure 'Relax minimum password length limits' is set to 'Enabled'.,failed,,"This policy setting determines whether the minimum password length setting can be increased beyond the legacy limit of 14 characters. For more information, please see the following Microsoft Security Blog. The recommended state for this setting is: Enabled. Note: This setting only affects local accounts on the computer. Domain accounts are only affected by settings on the Domain Controllers, because that is where domain accounts are stored.",15505,cis_win10_enterprise,,This setting will enable the enforcement of longer and generally stronger passwords or passphrases where MFA is not in use.,"To establish the recommended configuration via GP, set the following UI path to Enabled: Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Password Policy\Relax minimum password length limits Note: This setting is only available within the built-in OS security template of Windows 10 Release 2004 and Server 2022 (or newer), and is not available via older versions of the OS, or via downloadable Administrative Templates (ADMX/ADML). Therefore, you must use a Windows 10 Release 2004 or Server 2022 system (or newer) to view or edit this setting with the Group Policy Management Console (GPMC) or Group Policy Management Editor (GPME).","[{""value"":""1.1.6"",""key"":""cis""},{""value"":""16.4"",""key"":""cis_csc_v7""},{""value"":""5.2"",""key"":""cis_csc_v8""},{""value"":""IA.L2-3.5.7"",""key"":""cmmc_v2.0""},{""value"":""A.10.1.1"",""key"":""iso_27001-2013""},{""value"":""2.2.2,8.3.5,8.3.6,8.6.3"",""key"":""pci_dss_v4.0""},{""value"":""CC6.1"",""key"":""soc_2""}]","[{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Control\\SAM""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Control\\SAM -> RelaxMinimumPasswordLengthLimits""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Control\\SAM -> RelaxMinimumPasswordLengthLimits -> 1""}]"
https://www.cisecurity.org/white-papers/cis-password-policy-guide/,all,Ensure 'Account lockout duration' is set to '15 or more minute(s)'.,failed,,"This policy setting determines the length of time that must pass before a locked account is unlocked and a user can try to log on again. The setting does this by specifying the number of minutes a locked out account will remain unavailable. If the value for this policy setting is configured to 0, locked out accounts will remain locked out until an administrator manually unlocks them. Although it might seem like a good idea to configure the value for this policy setting to a high value, such a configuration will likely increase the number of calls that the help desk receives to unlock accounts locked by mistake. Users should be aware of the length of time a lock remains in place, so that they realize they only need to call the help desk if they have an extremely urgent need to regain access to their computer. The recommended state for this setting is: 15 or more minute(s). Note: Password Policy settings (section 1.1) and Account Lockout Policy settings (section 1.2) must be applied via the Default Domain Policy GPO in order to be globally in effect on domain user accounts as their default behavior. If these settings are configured in another GPO, they will only affect local user accounts on the computers that receive the GPO. However, custom exceptions to the default password policy and account lockout policy rules for specific domain users and/or groups can be defined using Password Settings Objects (PSOs), which are completely separate from Group Policy and most easily configured using Active Directory Administrative Center.",15506,cis_win10_enterprise,"powershell secedit /export /cfg $env:TEMP\secpol.cfg; Get-Content $env:TEMP\secpol.cfg | Select-String ""LockoutDuration""; Remove-Item $env:TEMP\secpol.cfg","A denial of service (DoS) condition can be created if an attacker abuses the Account lockout threshold and repeatedly attempts to log on with a specific account. Once you configure the Account lockout threshold setting, the account will be locked out after the specified number of failed attempts. If you configure the Account lockout duration setting to 0, then the account will remain locked out until an administrator unlocks it manually.","To establish the recommended configuration via GP, set the following UI path to 15 or more minute(s): Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Account Lockout Policy\Account lockout duration.","[{""value"":""1.2.1"",""key"":""cis""},{""value"":""20,10"",""key"":""cis_csc_v7""},{""value"":""4.10"",""key"":""cis_csc_v8""},{""value"":""AC.L2-3.1.8,SC.L2-3.13.9"",""key"":""cmmc_v2.0""},{""value"":""8.3.4"",""key"":""pci_dss_v4.0""}]","[{""type"":""command"",""rule"":""c:powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""LockoutDuration\""; Remove-Item $env:TEMP\\secpol.cfg -> n:LockoutDuration = (\\d+) compare >= 15""}]"
https://www.cisecurity.org/white-papers/cis-password-policy-guide/,all,"Ensure 'Account lockout threshold' is set to '5 or fewer invalid logon attempt(s), but not 0'.",failed,,"This policy setting determines the number of failed logon attempts before the account is locked. Setting this policy to 0 does not conform to the benchmark as doing so disables the account lockout threshold. The recommended state for this setting is: 5 or fewer invalid logon attempt(s), but not 0. Note: Password Policy settings (section 1.1) and Account Lockout Policy settings (section 1.2) must be applied via the Default Domain Policy GPO in order to be globally in effect on domain user accounts as their default behavior. If these settings are configured in another GPO, they will only affect local user accounts on the computers that receive the GPO. However, custom exceptions to the default password policy and account lockout policy rules for specific domain users and/or groups can be defined using Password Settings Objects (PSOs), which are completely separate from Group Policy and most easily configured using Active Directory Administrative Center.",15507,cis_win10_enterprise,"powershell secedit /export /cfg $env:TEMP\secpol.cfg; Get-Content $env:TEMP\secpol.cfg | Select-String ""LockoutBadCount""; Remove-Item $env:TEMP\secpol.cfg",Setting an account lockout threshold reduces the likelihood that an online password brute force attack will be successful. Setting the account lockout threshold too low introduces risk of increased accidental lockouts and/or a malicious actor intentionally locking out accounts.,"To establish the recommended configuration via GP, set the following UI path to 5 or fewer invalid login attempt(s), but not 0: Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Account Lockout Policy\Account lockout threshold.","[{""value"":""1.2.2"",""key"":""cis""},{""value"":""20,10"",""key"":""cis_csc_v7""},{""value"":""4.10"",""key"":""cis_csc_v8""},{""value"":""AC.L2-3.1.8,SC.L2-3.13.9"",""key"":""cmmc_v2.0""},{""value"":""8.3.4"",""key"":""pci_dss_v4.0""}]","[{""type"":""command"",""rule"":""c:powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""LockoutBadCount\""; Remove-Item $env:TEMP\\secpol.cfg -> n:LockoutBadCount = (\\d+) compare <= 5""},{""type"":""command"",""rule"":""c:powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""LockoutBadCount\""; Remove-Item $env:TEMP\\secpol.cfg -> n:LockoutBadCount = (\\d+) compare > 0""}]"
https://www.cisecurity.org/white-papers/cis-password-policy-guide/,all,Ensure 'Reset account lockout counter after' is set to '15 or more minute(s)'.,failed,,"This policy setting determines the length of time before the Account lockout threshold resets to zero. The default value for this policy setting is Not Defined. If the Account lockout threshold is defined, this reset time must be less than or equal to the value for the Account lockout duration setting. If you leave this policy setting at its default value or configure the value to an interval that is too long, your environment could be vulnerable to a DoS attack. An attacker could maliciously perform a number of failed logon attempts on all users in the organization, which will lock out their accounts. If no policy were determined to reset the account lockout, it would be a manual task for administrators. Conversely, if a reasonable time value is configured for this policy setting, users would be locked out for a set period until all of the accounts are unlocked automatically. The recommended state for this setting is: 15 or more minute(s). Note: Password Policy settings (section 1.1) and Account Lockout Policy settings (section 1.2) must be applied via the Default Domain Policy GPO in order to be globally in effect on domain user accounts as their default behavior. If these settings are configured in another GPO, they will only affect local user accounts on the computers that receive the GPO. However, custom exceptions to the default password policy and account lockout policy rules for specific domain users and/or groups can be defined using Password Settings Objects (PSOs), which are completely separate from Group Policy and most easily configured using Active Directory Administrative Center.",15508,cis_win10_enterprise,"powershell secedit /export /cfg $env:TEMP\secpol.cfg; Get-Content $env:TEMP\secpol.cfg | Select-String ""ResetLockoutCount""; Remove-Item $env:TEMP\secpol.cfg","Users can accidentally lock themselves out of their accounts if they mistype their password multiple times. To reduce the chance of such accidental lockouts, the Reset account lockout counter after setting determines the number of minutes that must elapse before the counter that tracks failed logon attempts and triggers lockouts is reset to 0.","To establish the recommended configuration via GP, set the following UI path to 15 or more minute(s): Computer Configuration\Policies\Windows Settings\Security Settings\Account Policies\Account Lockout Policy\Reset account lockout counter after.","[{""value"":""1.2.4"",""key"":""cis""},{""value"":""20,10"",""key"":""cis_csc_v7""},{""value"":""4.10"",""key"":""cis_csc_v8""},{""value"":""AC.L2-3.1.8,SC.L2-3.13.9"",""key"":""cmmc_v2.0""},{""value"":""8.3.4"",""key"":""pci_dss_v4.0""}]","[{""type"":""command"",""rule"":""c:powershell secedit /export /cfg $env:TEMP\\secpol.cfg; Get-Content $env:TEMP\\secpol.cfg | Select-String \""ResetLockoutCount\""; Remove-Item $env:TEMP\\secpol.cfg -> n:ResetLockoutCount = (\\d+) compare >= 15""}]"
https://learn.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/accounts-guest-account-status,any,Ensure 'Accounts: Guest account status' is set to 'Disabled'.,failed,,"This policy setting determines whether the Guest account is enabled or disabled. The Guest account allows unauthenticated network users to gain access to the system. The recommended state for this setting is: Disabled. Note: This setting will have no impact when applied to the Domain Controllers organizational unit via group policy because Domain Controllers have no local account database. It can be configured at the domain level via group policy, similar to account lockout and password policy settings.",15511,cis_win10_enterprise,"wmic useraccount where (sid like ""s-1-5-21-%-501"") get Disabled","The default Guest account allows unauthenticated network users to log on as Guest with no password. These unauthorized users could access any resources that are accessible to the Guest account over the network. This capability means that any network shares with permissions that allow access to the Guest account, the Guests group, or the Everyone group will be accessible over the network, which could lead to the exposure or corruption of data.","To establish the recommended configuration via GP, set the following UI path to Disabled: Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options\Accounts: Guest account status.","[{""value"":""2.3.1.2"",""key"":""cis""},{""value"":""16.8"",""key"":""cis_csc_v7""},{""value"":""4.7"",""key"":""cis_csc_v8""},{""value"":""A.9.2.1"",""key"":""iso_27001-2013""},{""value"":""2.1,2.1.1"",""key"":""pci_dss_v3.2.1""},{""value"":""2.2.2,2.3.1"",""key"":""pci_dss_v4.0""},{""value"":""CC6.3"",""key"":""soc_2""}]","[{""type"":""command"",""rule"":""c:wmic useraccount where (sid like \""s-1-5-21-%-501\"") get Disabled -> r:No Instance\\(s\\) Available.""},{""type"":""command"",""rule"":""c:wmic useraccount where (sid like \""s-1-5-21-%-501\"") get Disabled -> r:TRUE""}]"
https://learn.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/accounts-limit-local-account-use-of-blank-passwords-to-console-logon-only,any,Ensure 'Accounts: Limit local account use of blank passwords to console logon only' is set to 'Enabled'.,passed,,"This policy setting determines whether local accounts that are not password protected can be used to log on from locations other than the physical computer console. If you enable this policy setting, local accounts that have blank passwords will not be able to log on to the network from remote client computers. Such accounts will only be able to log on at the keyboard of the computer. The recommended state for this setting is: Enabled.",15512,cis_win10_enterprise,,"Blank passwords are a serious threat to computer security and should be forbidden through both organizational policy and suitable technical measures. In fact, the default settings for Active Directory domains require complex passwords of at least seven characters. However, if users with the ability to create new accounts bypass your domain-based password policies, they could create accounts with blank passwords. For example, a user could build a stand-alone computer, create one or more accounts with blank passwords, and then join the computer to the domain. The local accounts with blank passwords would still function. Anyone who knows the name of one of these unprotected accounts could then use it to log on.","To establish the recommended configuration via GP, set the following UI path to Enabled: Computer Configuration\Policies\Windows Settings\Security Settings\Local Policies\Security Options\Accounts: Limit local account use of blank passwords to console logon only.","[{""value"":""2.3.1.3"",""key"":""cis""},{""value"":""4.4"",""key"":""cis_csc_v7""},{""value"":""5.2"",""key"":""cis_csc_v8""},{""value"":""IA.L2-3.5.7"",""key"":""cmmc_v2.0""},{""value"":""A.9.4.3"",""key"":""iso_27001-2013""},{""value"":""2.2.2,8.3.5,8.3.6,8.6.3"",""key"":""pci_dss_v4.0""},{""value"":""CC6.1"",""key"":""soc_2""}]","[{""type"":""numeric"",""rule"":""not r:HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Control\\Lsa -> LimitBlankPasswordUse""},{""type"":""registry"",""rule"":""r:HKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Control\\Lsa -> LimitBlankPasswordUse -> 1""}]"
